AGTR2	PRND	NPPA	MYH7	CBLN4	TSPAN8	TCF21	ACCS	ACTG2	TTC4	ITLN1	NPPC	C1QA	MIA	MSC
SMOC1	ESM1	MYH6	MYL2	RAB3C	SLC6A4	CILP	KIAA0391	SULT1E1	DLGAP5	CXCL14	LYPD2	C1QC	DPT	ENPEP
CLDN10	APLN	MB	IRX4	GDF10	SOST	SCN7A	NBPF26	PENK	PIH1D2	TNNT1	KISS1	C1QB	CITED1	FOXS1
TMC5	CA4	C1orf105	ATP1A3	CRYGD	NTS	DCN	ALG11	NELL2	CDKL1	UPK3B	ADIRF	TYROBP	TNFAIP6	CCDC3
BMX	SSUH2	FBXO40	ACTA1	TIMP4	NXPH1	COL6A6	MT1H	SLC22A3	INCENP	LGALS2	ST6GALNAC1	CCL3	FAM163A	COX4I2
ANGPTL5	LHX6	VSTM2L	HAND1	SERINC2	CNR1	EBF2	ZNF777	PHYHIPL	PHOSPHO1	KLK5	PI16	SPP1	TMEM229A	HIGD1B
SCGN	CLDN5	RD3L	MYL3	HOXA5	POU4F1	COL24A1	SLC27A5	GRID2	GDF15	PRG4	PTHLH	FOLR2	RGS5	ITGA11
AVPR2	TM4SF18	ADCY5	GPR22	AKR1C2	MSX1	PID1	AP1S3	LAMP5	ACSL6	RSPO1	CPXM2	VSIG4	F2RL1	HEYL
APCDD1L	FABP4	USH1C	KCNJ4	ZFR2	GDF3	C1QTNF7	PLA2G6	DLX5	RECQL4	BICDL1	NDP	FCGR3A	GBP5	SEPT4
TMEM100	C1orf61	HHATL	FGF18	CHODL	HAPLN3	CCBE1	KHK	OSR2	MRM1	SMPD3	CLIC2	RGS1	S100B	COL5A3
MAOA	GPIHBP1	MYPN	SLC5A1	FOXG1	NKAIN2	CCL11	PPCDC	NMUR2	RUNDC3A	SPRR2F	CYP1B1	HPGDS	ITIH5	NRIP2
RASSF10	MADCAM1	ART3	NPPB	NGEF	IL1RL1	SRPX2	FAM185A	PDZRN4	SLC22A4	NPHS1	DKK2	CSF1R	PCBP3	NDUFA4L2
EMCN	HOXD1	MYBPHL	CLDN6	HOXA2	PLPP4	LUM	THAP10	PRDM6	FAM151B	KLK11	PRMT8	F13A1	P2RY1	PLXDC1
E2F7	TMEM233	MCEMP1	FGF1	PCDHB2	CTSV	DLK1	RPL36A	GEM	FNDC10	KREMEN2	FCGR2B	AGR2	ADORA2B	TBX2
SPANXN3	FLT4	C5orf38	MT3	HOXA4	DLL1	SPON2	DPF1	LRRTM4	NR2C2AP	LRP2	SELL	GPR34	ERBB3	ERFE
NPR3	QRFPR	DUOX2	SMYD1	ALX1	BRINP1	PTGES	ARHGEF37	DLX2	F8A1	SBSPON	CR1L	CYBB	OPRD1	TNFSF15
COLEC10	PDE2A	IRX1	XIRP1	GPR85	MLPH	NKAIN4	ALKBH6	PTPRZ1	WNT3	TMEM151A	IFI27	CD53	RAPGEF4	TEX14
ODF3B	CD300LG	ABRA	ANKRD1	OSR1	EDN1	PTN	NACA2	RSPO3	RAD54B	MSLN	HYAL1	FCGR1A	SOX9	FAM162B
CLEC3B	PDGFB	CADPS	TNNI3	TMEM200A	BIK	LRRN4CL	RPS3A	ACTA2	DDX47	TGM1	DHH	IGSF6	DEPDC7	C11orf96
RALYL	SEMA6B	SLC35D3	SEC14L5	MAPK10	FZD10	PCDH18	C19orf54	AMER2	ACTR3C	GPM6A	F5	ALOX5AP	ANGPTL1	CHST2
PCDH15	NR5A2	MAPK4	EPN3	BRINP2	PTGS2	MOXD1	RPL31	GPC5	DLL3	SFRP5	SP6	TREM2	ADAMTSL2	ITGA1
HS3ST2	TNFRSF4	COL2A1	SORBS2	GAP43	AQP10	CEMIP	ZXDC	PRR16	STX1A	LRRN4	SLCO2A1	CD163	TBX22	PDGFRB
DCBLD1	NOTCH4	DUOXA2	GJA3	WFIKKN2	MMRN1	DCC	NLE1	GREM2	GTSE1	NLRP9	WNT2	S100A9	LYPD6B	SUSD4
OLFM3	FAM167B	ADORA1	NRAP	SLITRK6	HS3ST1	IGDCC4	ARNTL	FBLN5	ZXDA	EDN3	CRHBP	MS4A7	MX2	CCDC102B
FGF23	PROM1	PPP1R1A	C5orf46	MAG	C6orf141	LEFTY1	RPL12	GSTA1	TRMO	AGTR1	IGFL2	CX3CR1	LGR5	ETV4
GP1BA	PIK3R6	NRTN	COBL	ALCAM	SLC26A7	PLP1	RPS2	KCNJ6	HMGN4	ABCB1	CBLN2	C3AR1	FSBP	THBS4
IRX6	C1QTNF9	PLPP7	FABP3	RPRM	ENPP3	ZSCAN10	RPS4X	CXCR2	KCNH3	GRM2	PTGDS	MS4A6A	EMILIN3	BGN
PRSS3	ACE	MROH7	HOPX	CNTN5	CTSE	TMEM215	RPS12	STAC	PRMT3	SLC7A4	SSTR2	MS4A4A	SLN	KCNJ8
ADGRG6	TCF15	PRKAG2	ASB2	IGDCC3	ACKR4	NTF3	ADCK1	IL13RA2	XRCC3	KLK10	WNT4	HCK	PRCD	LAMC3
PTGER3	FCN3	HAMP	LMOD3	KCNAB3	NCKAP5	COL22A1	RMND1	ISL1	SPA17	KLK8	RAMP3	CCL4L2	EVA1A	CYGB
ADAM22	ADGRL4	GPX3	STRIP2	CA10	MET	NRK	RPL32	NPY	SLC16A8	SLC25A48	PLA1A	NCF4	GNG2	STEAP1
BMPER	NRN1	VWDE	CYP2J2	VCAM1	OAS2	ITGA4	RPS15A	GRM7	HPDL	BMP3	ACP5	P2RY13	ELOVL2	ZNF324B
ENPP1	JAG2	MYOM2	AKAP6	SFRP2	CYB561	CNTFR	RPL5	GLIS1	FAM216A	FAM110C	CYP4F12	LY86	TWIST1	EPHX3
LY6K	NETO2	HCN4	POPDC2	CNTNAP5	JSRP1	ABCA6	RPL26	OMD	NCAPG2	CPLX1	ANO1	LST1	CDH19	CHST8
EDNRB	IL3RA	LRRTM3	PRDM8	HGF	EXPH5	DIO3	RPL18A	ELMOD1	HMMR	TMEM190	LCN6	CLEC7A	SRRM3	THY1
ADCYAP1	CHST1	FBXO32	LSMEM2	GRM3	MARVELD2	GPR153	ZNF571	GRIA2	C2orf74	GALNT9	MUC4	CCL4	C7	RIN1
TTC9	ARL4C	PDE8B	FGF12	LRRC55	GALNT13	ADAMTS2	RPL9	MATN4	PPAN	CA9	XKR4	FPR1	FAM110B	MT2A
IRX5	CLVS1	TRDN	VIPR2	TOX2	NEGR1	NPY5R	RPS18	LRP1B	BPGM	SMKR1	ST8SIA6	RNASE6	C5	KCNS3
CNTN6	PIK3CG	PAM	GPAT3	NTRK2	SLC6A6	PRKG2	LRRC20	GLI1	FAXC	EPS8L2	LCN15	LILRB5	FAP	ERRFI1
LRIG3	EPHB1	PNMT	FRMD5	HOXB3	DACT2	VGLL3	RPL34	OGN	NUF2	C2orf40	SEMA3F	NKG7	RNF157	APOE
PLVAP	TCTEX1D1	GABRA5	B4GALNT3	IGLON5	C1orf115	NKD2	RACK1	CYP4X1	PC	NMU	TAGLN3	PLD4	TTLL7	PLA2G5
CDH11	MMP25	NFASC	SORCS3	AKR1C1	PROCR	TMEM119	RPL7	WFDC1	ZSWIM1	CNTNAP4	TPPP3	PLEK	PDE1A	SH2D3C
ART4	ROBO4	SPHKAP	ENO3	VEGFD	MRAP2	PEG10	RPL13	NNMT	ARL9	CDH1	FGFR3	HAVCR2	TNFRSF19	NOTCH3
F8	C2CD4B	SHD	MYOM1	MMP11	LAMA1	SCARA5	RPS8	PCDH11X	ZNF658	DNAJC22	S100P	CCR1	SLFN13	CAMK2N1
C4orf51	RGS20	PPP2R2B	LRRC10	PCDHB6	COL26A1	TSLP	RPS24	AREG	POLR1C	CGN	CFP	EVI2A	UCMA	LIN37
OTOF	TMEM255B	ULK4	KIF1A	ZFP2	SELE	FNDC5	THAP8	MSANTD1	OSCP1	PTPRQ	LTC4S	LCP1	KCNT2	CSPG4
DACH2	CAPN12	ABAT	TDGF1	NRXN1	HTR2B	FGFR4	MORN3	SHISA3	CSNK2A3	HAS1	CCL21	MNDA	CDT1	ZNF417
SELP	PTPRR	SLC2A12	USP2	ZNF90	LKAAEAR1	NTM	RPL17	INHBA	CENPH	PDZK1IP1	C2orf88	TNFAIP8L2	SPHK1	RAPH1
RADIL	ZNF366	CACNA1D	CUX2	KCNIP4	EXOC3L2	MEOX1	RPL10A	PLCH1	TFB2M	MGARP	ATP2A3	S100A8	GALNT5	UACA
NRG1	CMTM2	RASD1	KCNV1	SERPINI1	CYTL1	PNMA2	TSPAN10	RASL11B	TANGO6	SPOCK2	IL15RA	BIN2	OXT	CDC7
QSOX1	PCDH12	ADAM11	APOBEC2	IRF9	NRGN	HTR2A	ZNF615	ODAM	CASP9	OPRK1	NRG3	ACY3	ADRB1	COL4A1
EPB41L4B	SLC9C1	ATP2A2	ACTN2	ELFN1	SSPO	UNC80	RPS17	NTRK3	CEP152	KRT7	APOL3	ITGB2	MSH5	GALNT8
ATL2	CETP	KIAA1324L	MARCH11	VWCE	APCDD1	SERPINE2	EEF1A1	SFRP1	SMPD2	SLC9A3R1	GCH1	SPI1	GBP4	MICALL2
CTHRC1	APOL4	L3MBTL4	KLHL30	KCNN1	LYPD1	COL12A1	RPL10	PRSS35	SLC25A10	KLK7	FAM3D	CTSS	ADCY1	NEURL3
KLHL4	ARHGEF28	STUM	CKMT2	SRGAP3	RALGAPA2	KCNIP1	RPS3	MYH11	MKI67	CRB2	NTRK1	NCKAP1L	SNAI1	TAF4B
IL18R1	LMO2	BHMG1	GIPR	FLRT2	AKR1B1	MYRFL	RPL29	CLDN19	GPLD1	ASPHD1	CD55	LILRB4	TACR1	TRPC4
SPATA13	APLNR	ADAMTS8	HSPB7	GABRA1	ARHGAP28	FAIM2	RPL13A	ADH1B	EARS2	NECAB1	MFSD6	CORO1A	ZC3H12A	GUCY1A2
NTNG1	KIF17	SPTB	GLP1R	NEFM	HMCN2	CACNB4	RPS6	BTC	RUVBL1	CARNS1	TMEM40	CD84	PPFIBP2	CDX1
SLC9C2	PCDH1	TBX5	TNNC1	SLC24A3	BMPR1B	PRELP	RPL11	ELN	NOP2	KRTCAP3	ACKR1	PTPRC	ARSE	ACSM3
FZD6	DOC2B	CPNE5	CASZ1	CDH24	DHRS9	NDST4	RPS13	DIRAS3	GYPB	ARHGAP22	ITGA10	MPEG1	GBP7	DKK1
TFPI	ARHGAP18	CASKIN1	TKTL1	SLC45A3	NET1	NTF4	RPL37	LMOD1	GPATCH4	GRIK1	KCNJ2	ARHGAP30	TYW1B	MASTL
TM4SF1	COL15A1	SNURF	PAIP2B	TRAIP	CD274	ST8SIA1	RPLP0	SNAP25	C1GALT1C1L	KLK6	RHBDL2	EVI2B	DNM1	HES4
NMUR1	VWF	MYOZ1	SLC8A1	LUZP2	RHOU	LRTM1	RPL23	THRB	TFR2	CDH3	SLC4A8	CD86	BEGAIN	KHDRBS3
CYSLTR2	MEOX2	NEK10	COX6A2	ACTRT3	IQCH	LRAT	NMNAT3	CCL28	FAM86B1	CALB2	ALDH3A1	CYTH4	SYNPO2	HEY1
SIGLEC15	TBXA2R	C14orf180	UNC45B	TMEM35A	TSPAN11	C1QTNF3	RAVER2	C1QTNF1	CLPB	WNT2B	MPZL3	SLCO2B1	CTSK	TMEM74B
BAALC	ADAMTS18	FREM2	HSPB3	NXNL2	CH25H	STXBP5L	RPL4	PI15	MTFR1	PTGS1	TMIE	CSF2RA	EBF3	ECM1
GIMAP2	SOX18	PIFO	LPL	NRXN2	CD24	DCDC1	RPL39	IL34	TBL3	NRG4	ABCA3	LYZ	MELTF	PIEZO2
COL23A1	N4BP3	FGF11	LMOD2	FOXP2	LRRC4C	APELA	ZNF850	TMEM132C	DRC3	NCCRP1	ITGB4	RETN	TGFBI	FRMD4A
POSTN	CD93	SHOX2	NAV1	SLC16A9	BEX5	MRGPRF	RPS23	CDH8	WDR53	PLLP	MPZL2	BLNK	DZANK1	ADAMTS4
RASGEF1B	GIMAP4	RIMKLA	TNNI1	ZNF17	PROX1	KLHDC8A	RPL15	GPR158	CEP97	ANXA8L1	SGSM1	LAT2	GLIS3	IGFBP2
NPM2	TMC7	ADGRB2	MTUS2	IRF1	BST2	OTUD7A	RPS14	CRABP1	KLC2	KIRREL2	TNXB	CD5L	TMEM47	SEMA5A
EFNA1	PGF	VSNL1	PNCK	GPRIN2	HHEX	DHRS2	IMPA2	TCEAL2	TTC27	MYRF	POF1B	LRRC25	EYA1	ZNF2
KCNK6	DLL4	TXLNB	TRIM63	HCN3	STAR	GBP1	RPL35A	ACADL	SUSD5	DAW1	SEMA3A	APBB1IP	CORO2A	DNAJC12
NOSTRIN	ARHGEF15	CAMK2B	SLC27A6	CNTNAP3B	OLFML2A	C1QTNF2	RPS5	IL17B	TYMS	RDH10	CMTM5	KYNU	SERPINF1	PELO
EPHA4	IGFBP3	TMTC1	DOK7	TMEM26	TMCC3	ANGPTL6	GVQW2	EFHD1	DDX55	KANK4	CBR3	WAS	NGFR	ZNF845
MMP28	TP53I11	TRIM55	EEF1A2	OTUB2	CGREF1	LPAR4	PET117	PAPPA2	UTP18	KRT19	LEFTY2	CXCL8	TRIL	SYTL2
CA12	GIMAP6	SOX15	RBFOX1	KCP	PRRG2	NKAIN3	SMIM10L2A	P4HA3	CENPU	GAL3ST3	CD82	FGD2	OXER1	ARHGEF17
SPIN4	KCNC4	TESC	CASQ2	GRIA1	XIRP2	LRRN3	RINL	PCSK1N	SLC25A51	KCNMA1	CFAP161	CD74	DEPTOR	DTL
SALL1	PPP1R16B	CMYA5	LPAR3	AFF2	MCHR1	LOXL3	ACY1	SFRP4	ZNF485	BNC1	PLCD1	HCST	ATOH8	PAG1
IRX3	MCF2L	PGAM2	FGF5	LGI4	SLC9A7	COL17A1	RPL21	ST6GAL2	TLCD1	RARRES2	AQP1	FCGR1B	ROBO2	TMEM232
UGT8	LXN	PPP1R1B	MYBPC3	PPARG	PCSK4	FNDC1	RPL30	DCLK1	TADA2A	AKR1B10	AQP3	SASH3	MYO3A	IL20RB
CDA	HOXB5	ANGPT1	MYOZ2	ZFP36	ELMO3	KCNAB1	RPL27A	BRINP3	MOCS3	CPA4	SLC9A3R2	CD69	TFPI2	IFITM1
ENG	MYO10	DMC1	PPARGC1A	LRRC4B	NPHP4	GFRA3	RPL36	HPCAL4	PARP3	SYCN	DEFB135	SYK	PRSS27	SCG3
NTN1	PLEKHG1	KLHL41	CTNNA3	VSIG10L	IER3	GRIN2D	RPL7A	PRRX2	TRMT61A	SLC34A2	RASL10A	CD28	MXRA8	MYH9
ADGRF5	OIT3	SORCS2	TRIM54	PITX2	FOXC1	NPTX2	RPL23A	MAB21L1	DPH2	RHPN2	PKN3	CD300A	LZTS1	AFAP1L2
VMO1	DGKE	MAEL	SMPX	JUNB	ZSCAN22	RGS4	RPS27	NRCAM	CENPW	DPP4	DHRS13	MSR1	EPHA7	FKBP5
PMEL	CLEC2B	KCNK3	TTN	FOSB	GJA4	ARSI	EEF1B2	CHMP4C	NUSAP1	ZFP42	PTPRB	C3	HS6ST2	RERG
TGFBR3	BCL6B	ALDOC	ADAMTSL5	DLK2	MSMP	ISLR	ZNF214	IGSF1	ZNHIT6	PLAC1	TNFAIP8L3	GPR183	TTYH1	COL4A2
SLITRK4	A2M	MYL7	ALPK2	LPAR2	ABI3BP	SYT6	RPL22	SPOCK3	BRIX1	LIF	CC2D2B	ADAP2	WDR90	CCR10
MYRIP	STEAP1B	PTGES3L	ACTC1	NAALAD2	PLCD4	LOXL4	RPL3	GDF5	MBLAC1	SLITRK5	CD9	CD68	HAAO	PCDHGA11
RAPGEF5	KITLG	CCDC141	SYNPO2L	AR	RAB39B	DPP10	RPL41	PODNL1	PDSS1	CYP2E1	GLYATL2	C5AR1	C22orf46	ST8SIA4
HSD11B2	TMEM156	CORIN	SCN5A	CALN1	STRADA	EPHA5	RPL38	CHST9	MCM4	SLITRK2	GP6	TFEC	BTBD3	AGRN
NAT8	PREX1	RIC3	SOX3	RARB	NEU3	MDGA2	RPSA	COL9A2	TRIP13	PDPN	CDH23	ITGAM	FRMD6	ABCC9
MMRN2	CREG2	TMEM200C	PKP2	CDR1	ATP9A	LHX9	RPS25	TAGLN	USP35	BNC2	PTGDR	IRF8	SYT4	PHLDA1
GIMAP1	PRDM1	RASSF5	FITM1	FSIP1	KLHL3	LPAR1	RPL19	RSPO2	AXIN1	DNAAF3	S100A6	CXorf21	CCDC74A	GNPNAT1
CD79B	PLA2G4C	LAD1	LDB3	DEPDC4	LBP	MEIS3	RPLP1	SLIT2	TGS1	DPP6	ADCY4	PARVG	PHLDA2	DNASE1L3
PRCP	DOCK9	RRAD	C9orf24	ADD2	LAYN	MDGA1	ZFAND4	NKD1	TK1	LAMA3	SYT17	PTAFR	SLC38A5	FAR2
ST6GALNAC3	GALNT18	TECRL	EXTL1	BEND5	CCDC80	PCSK2	RPL14	WFDC2	WDR92	SMPDL3B	GRIP2	LCP2	HIST1H3H	NPAS1
NT5E	TNNT3	ZDHHC11B	SH3BGR	H3F3C	PIWIL1	KIAA1755	EIF3E	SLC1A6	PNO1	FXYD7	SERPINB8	AOAH	ACSS1	PPP1R14A
CLEC14A	ARHGEF3	ADAM23	SLC4A3	NDNF	LEPR	SVEP1	C15orf65	CHRNA3	ZNF740	TLL1	MANEAL	MATK	ANGPTL2	FLT3LG
CD40	SOX7	WIPF3	RBM20	ZSCAN23	CDNF	GDF6	CCDC30	GRIA3	AGAP4	FCHO1	HRCT1	TLR10	TFAP2A	FHL3
GNA14	APOD	SNAP91	PPFIA4	C1S	MREG	KCNB1	ZNF581	RASL11A	BOP1	LAMB3	P2RY6	GNA15	RAVER1	CTU1
NPR1	BTNL9	RTN4RL1	GCNT2	AGT	PDE11A	LHX2	RPS28	GPR20	UTP15	ECEL1	GPBAR1	IFI30	NYAP1	ESCO2
