BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
CLDN10	MYOM2	ITLN1	WNT2	LYPD2	TNFAIP6	COL9A1	CCDC102B	ANKRD1	C1QA	GYPB	WNT3	BNIP3	ADGRL4
SLC6A4	DCUN1D2	TNNT1	HS3ST1	SLCO2A1	PCBP3	PTN	FOXS1	MYH7	C1QB	KRT1	CEP19	FAM162A	PRND
APCDD1L	HDAC11	UPK3B	CRHBP	KISS1	FAP	OGN	SLN	TTN	C1QC	GDF15	C11orf71	HEY2	BCL6B
ANGPTL5	RBM15	SFRP5	PLPP4	OPCML	C1GALT1C1L	LRRC17	ENPEP	CSRP3	HLA-DRA	PHOSPHO1	DDX20	PNCK	ESM1
MAOA	RALGPS1	SFRP2	IL1RL1	CYP1B1	RSPO3	GPC3	CYGB	NEBL	TYROBP	RUNDC3A	RABL3	LDHA	TM4SF18
AGTR2	NCAPD2	LGALS2	NTS	ADIRF	PRSS27	DCN	HIGD1B	MYH6	CCL3	IFIT1B	ARID3B	CIART	TMEM233
ENPP1	XKR6	KLK5	APCDD1	PTGDS	PENK	SPON2	RGS5	LDB3	S100A9	TMCC2	RTN4IP1	TG	TMEM255B
NPR3	SP4	SPRR2F	FZD10	HYAL1	SMIM24	SAMD11	ADORA2B	RBM20	VSIG4	YPEL4	VRK2	PGM1	NOTCH4
EMCN	ZHX2	BICDL1	BRINP1	CPXM2	IQUB	CILP	DLK1	CASZ1	FCGR3A	RHAG	B4GALT6	VPS13D	CA4
MMRN1	FOXM1	SMPD3	PTGS2	MPZL2	ZNF239	NKAIN4	HS3ST3B1	SYNPO2L	MS4A6A	CTSE	TRIM21	ALDOA	APLN
HS3ST2	TNRC18	RSPO1	MSX1	FAM3D	NLGN3	NRK	TBX2	APOBEC2	CYBB	C17orf99	ACTR3B	PDK1	TNFRSF4
TMEM100	ZBTB4	MSLN	SLC6A6	PI16	TTLL7	NTF3	ITGA11	SMYD1	TREM2	BPGM	LINS1	PPIF	FCN3
CA12	SPC24	AGTR1	BIK	FCGR2B	S100B	C1QTNF7	MSC	LMOD2	CSF1R	MYT1	ZNF658	AK4	FLT4
AKR1C3	SLC16A10	C2orf40	AKR1B1	PRMT8	HCN3	CCBE1	COL5A3	XIRP1	F13A1	MT1F	ETAA1	GPI	CHST1
DACH2	CTF1	ANXA8L1	PRRT4	NTN1	CDO1	COL6A6	LAMC3	SORBS2	IGSF6	RHCE	MARC1	AHNAK2	PCDH12
DCBLD1	STK11	RDH10	COL26A1	APOL3	CCDC157	FBLN5	IGFBP7	CASQ2	MS4A7	EPB42	CCDC152	CCDC181	APLNR
SALL3	URB1	KREMEN2	SOST	CBLN2	AHR	TMEM119	LAMP5	BVES	GPR34	MT1M	ZNF544	SPAG4	NRN1
CYSLTR2	CENPF	GPM6A	CTSV	STMN2	WFDC2	MEOX1	LGR5	MYOCD	LY86	CR1L	GPT2	MTFP1	ACE
E2F7	TADA2B	WNT2B	SORD	IFI27	KCP	NTM	ECM1	NPPA	FOLR2	GYPE	ZSCAN31	ADSSL1	SSUH2
PRSS3	RPAP1	NPY	LYPD1	PLA2G2A	SRRM3	MOXD1	TTYH2	MYBPC3	FCGR1A	GRAP2	GTF2IRD2B	NDUFA4L2	FAM167B
CDA	ZKSCAN2	SBSPON	NET1	NLRC3	ZHX3	COL24A1	KCNJ8	COBL	CD53	TSPO2	SLC27A5	HK2	IL3RA
LY6K	ADAMTS15	SLITRK5	CD24	TPPP3	GRIA4	ADAMTS2	GRID2	ALPK2	MS4A4A	ACSL6	ZFYVE1	GAPDH	GPIHBP1
SMOC1	RASSF5	LRP2	LIMCH1	SPANXN3	ZNF286B	ITIH5	NOTCH3	POPDC3	CD163	ESPN	C16orf70	MIF	PDGFB
PTGER3	SLC35D3	KLK11	IL15RA	SPINK5	PCDHGB6	PTGES	TMEM229A	MYH7B	HPGDS	TRIM10	TMEM177	ENDOG	C1QTNF9
CTHRC1	KCNK3	NPHS1	CD274	PTHLH	IRAK3	SCRG1	PLXDC1	RRAD	RGS1	GFI1B	RFX5	SLC16A3	TP53I11
TMC5	ZNRF3	SMKR1	CXCL12	MEI1	FBF1	SRPX2	ADCY1	IRX4	CCL4	SPTA1	PRDM4	SPATA24	MEOX2
GP1BA	DVL1	EPS8L2	CYB561	SSTR2	ZFP37	PLP1	CD38	SLC8A1	CX3CR1	MT1X	TMEM201	GLCCI1	C2CD4B
SCGN	FITM2	EDN3	LYPD6	KLK1	SERTAD4	CCL11	DIO3	MB	LST1	TUBB1	ALG11	PGK1	CLVS1
HMCN1	PHF7	KCNMA1	HAS2	ATP2A3	RAPGEF4	PRELP	MAP2	AKAP6	LCP1	TRIM58	THAP6	TPI1	DPEP1
GIMAP7	USP30	SLC25A48	LAMA1	PDE11A	MXRA8	TMEM215	LZTS1	UNC45B	FPR1	KEL	ABCC10	MTHFD1	NR5A2
GDF3	ZNF527	LRRN4	IER3	MYRIP	TFPI2	LRRN4CL	GEM	GPR22	C3AR1	SMIM5	ZNF154	ANKEF1	PLEKHG1
TFPI	ZXDC	INMT	KCNN2	PCDH11X	SEZ6	MFAP4	DPT	TRIM63	RNASE6	TF	SAC3D1	STX11	ZNF366
ODF3B	TRPV1	CDH3	LCN6	PCED1B	ZNF777	PDGFRA	KCNE4	TRDN	PTPRC	MT1E	SERGEF	PKM	MAPK11
LRIG3	ACAD10	CFI	NFATC1	FGFR3	KLHDC1	ISLR	ADAMTSL2	SLC5A1	SPI1	MT2A	ILKAP	ENO1	DOCK9
COL23A1	MPP2	SPOCK2	ZSCAN22	CFP	ANKRD36B	CEMIP	PAG1	CCDC141	HCK	ACKR1	COX16	GCAT	MADCAM1
BAALC	ZFP41	BMP3	DOK4	PTGDR	ZCCHC14	CNTFR	UNC5C	FSD2	PLD4	FAM83A	EEFSEC	IGSF5	JAG2
NTNG1	USP6	ARHGAP22	PTPN3	ERAP2	GNAO1	KIF5C	ELOVL2	FGF12	ITGB2	DMTN	HECTD4	TMEM38A	SEMA6B
NPM2	WTIP	MYRF	ITGB4	PLA1A	BTN3A3	LUM	HEYL	TRIM55	EVI2A	FECH	BLZF1	DMKN	PCDH1
LDB2	NUP62CL	TMEM151A	GALNT13	RAMP3	SV2A	IGF1	CCDC3	ACTA1	AGR2	ASIC4	PTPMT1	COX5A	FABP4
