"0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"EMCN","COL9A2","SPON2","SLC8A1","LUM","OGN","GYPB","CXCL14","MYH6","NDUFA4L2","PRND","C1QC","MYOZ2","ASCL1"
"PLVAP","RSPO3","LRRC17","SORBS2","SCN7A","SFRP2","BPGM","ITLN1","MB","PDGFRB","CLDN5","C1QB","FABP3","ELAVL4"
"TMEM100","CLU","TCF21","MYH7","DCN","CPE","FECH","SBSPON","TECRL","CCDC3","A2M","CCL3","PLN","PCSK1N"
"RAMP2","MFAP4","ISLR","TNNI3","TGFBI","SFRP1","MPP1","TNNT1","ATP2A2","RGS5","FABP4","TYROBP","MYL4","STMN2"
"TM4SF1","PDLIM3","PTN","MYL2","PCDH18","FBLN5","MT1H","KRT19","CSRP3","BGN","CAV1","C1QA","TNNC1","ALDH1A1"
"NPPC","ID2","COL1A1","TNNI1","COL6A3","SULT1E1","BLVRB","SFRP2","PAM","IGFBP7","S100A16","CD14","TPM1","S100B"
"CTHRC1","PENK","FBLN1","MYL3","TCF21","CRABP2","HMBS","RARRES2","TNNT2","COL4A1","GNG11","CD74","MYL7","TUBB2B"
"TFPI","SLN","DCN","TNNT2","SERPINE2","ELN","SLC25A39","IGFBP5","MYL7","UACA","CALM1","FCER1G","ACTC1","MLLT11"
"ENG","ASPN","CSRP2","TNNC1","SPON2","CXCL12","SNCA","S100A10","MYL4","ACTA2","IL32","SPP1","MYL3","GAP43"
"POSTN","VCAN","PEG10","ACTC1","IL32","IGFBP7","MT2A","KRT8","NPPA","APOE","IGFBP3","AIF1","MYL2","DLK1"
