TMEM100	MYL7	NDP	ITLN1	TCF21	PENK
NPPC	ACTC1	TSPAN8	TNNT1	TMEM119	STMN2
GJA4	NPPA	CTSE	CXCL14	CILP	ALDH1A1
EMCN	MYH7	GDF15	UPK3B	COL6A6	S100B
ESAM	MYL2	DHRS9	PRG4	EBF2	SLN
BMX	MYL3	TMIGD2	LGALS2	NTF3	PRPH
ICAM2	CSRP3	BRIP1	RSPO1	ITGA4	SST
SOX17	PLN	C2orf73	KLK5	SRPX2	RTN1
ADGRF5	NEBL	CNFN	GPM6A	COL24A1	ELAVL4
PECAM1	SMPX	MICB	SPRR2F	SCN7A	NEFM
PLVAP	ANKRD1	CSNK2A3	BICDL1	LUM	ACTG2
MMRN2	ACTN2	ZNF492	SMPD3	CCL11	ISL1
CLDN5	MB	DENND2D	MSLN	MEOX1	STMN4
GPBAR1	LDB3	SLC26A1	SFRP5	DCN	PI15
TIE1	MYBPC3	TAS2R4	EDN3	C1QTNF7	ASCL1
CDH5	MYOZ2	TRAF1	KIRREL2	NRK	SLC22A3
IL1RL1	POPDC2	PLAC8	NPHS1	PCDH18	CHGA
KANK3	MYOM1	RECQL4	TMEM151A	PID1	TLX2
SOX18	MYH7B	NKAIN2	PTGS1	SPON2	PCSK1N
LYPD2	TRIM55	SULT1A2	KLK11	TBX22	CA10
MYCT1	TRDN	SLC25A21	SBSPON	ABCA6	COL9A2
SRGN	SMYD1	ZNF836	MGARP	ADAMTS2	MAPT
AGTR2	UNC45B	TBX6	KLK8	ZSCAN10	DLX2
CD93	XIRP1	PLK4	NLRP9	LRRN4CL	AREG
ADGRL4	LMOD2	RAD51	CARNS1	TGFBI	SULT1E1
NT5E	CASQ2	FANCA	AGTR1	RGS16	SCG2
ST6GALNAC1	HSPB3	SELPLG	TGM1	PTN	BCL2A1
OIT3	CCDC141	PLGLB1	SLC7A4	LEFTY1	PHOX2B
KISS1	TTN	C2orf74	TMEM190	MSC	LRRTM4
SOX7	TCAP	SLC30A10	KLK10	COL9A1	CHRNA3
SLCO2A1	ASB2	IL18BP	KREMEN2	SYT6	CALCB
GIMAP7	APOBEC2	BRINP1	LRRN4	THBS4	INA
ART4	LRRC39	OPRL1	KLK6	CCBE1	AMER2
GIMAP4	MYO18B	ZNF266	SLC25A48	SLC38A5	LAMP5
TLR4	FITM1	ZAP70	IL18	GFRA3	GAL
