DCN	ITLN1	EMCN	MYL7
TCF21	ALDH1A1	PLVAP	ACTC1
GPC3	CXCL14	TMEM100	TNNT2
IGF1	TNNT1	NPPC	NPPA
FBLN5	PTGS1	GJA4	MYH7
SOD3	LGALS2	ESAM	CSRP3
FIBIN	RSPO1	PECAM1	MYH6
PRELP	UPK3B	ICAM2	PLN
SCN7A	PRG4	TIE1	NEBL
OGN	KLK5	NTS	ANKRD1
SAMD11	SPRR2F	MMRN2	SMPX
GLIPR1	BICDL1	LYPD2	TTN
MEOX1	NCCRP1	BAALC	PGAM2
PTN	SMPD3	BMX	MB
ACTG2	TGM1	SOX17	ACTN2
TMEM119	MSLN	RAPGEF5	LDB3
PRPH	AGTR1	KISS1	MYBPC3
RTN1	SFRP5	KANK3	HSPB3
DLK1	NECAB1	CLDN5	MYOM1
ELAVL4	CXCL6	ADGRF5	POPDC2
C1QTNF7	KIRREL2	ADGRL4	RRAD
CILP	KCNMA1	GIMAP4	SMYD1
NELL2	BMP3	CDH5	SYNPO2L
NEFM	SUSD3	OIT3	MYH7B
EBF2	SBSPON	SRGN	TRIM55
GRID2	NPHS1	GPBAR1	TRDN
PTGES	TMEM151A	SCGN	ITGB1BP2
LRRC17	HAS1	IL1RL1	APOBEC2
PCDH18	LPAR5	COL23A1	XIRP1
LAMP5	CGN	MYCT1	UNC45B
SPON2	KLK11	SOX18	LMOD2
STMN4	BCL11B	GIMAP7	CASQ2
MOXD1	REG3G	GIMAP1	POPDC3
VGLL3	SLC51A	TM4SF18	ASB2
PI15	INSC	AGTR2	BMP7
CBLN4	CPLX1	ART4	COBL
SLC22A3	BRINP1	BCL6B	LRRC39
MFAP4	KLK8	NT5E	WNK2
GPR158	FMO1	ST6GALNAC1	MYO18B
ITGA4	NLRP9	OPCML	FSD2
SST	TFAP2A	BMPER	IRX4
RGS4	ZFP42	APOL3	GPR22
CNTFR	CARNS1	ADIRF	C1orf105
CHGA	MMEL1	ROBO4	TRIM54
BCL2A1	TMEM190	CD93	SLC5A1
GBP1	SLC9A3R1	TLR4	CLDN6
CCL11	GPM6A	TNFRSF4	FITM1
STMN2	MGARP	GIMAP6	ATP1A3
COL6A6	KLK10	KDR	USP2
NTF3	FBP1	SH3TC1	MYL3
THBS2	CYP2E1	SLCO2A1	GJA3
KIF5C	SFTPD	TMC5	MYOZ2
BEND6	COL8A2	CEACAM21	FBXO40
SCRG1	KCTD14	HYAL1	MYL2
XPNPEP2	EPB42	SOX7	TCAP
EGFL6	SOX10	RAMP3	CCDC141
SLN	SLC25A48	ANGPTL5	ACTA1
COL24A1	LIF	PRND	COX6A2
SYT6	DLX5	BTNL9	MYL4
GFRA3	IL18	PCDH12	TNNC1
GNG3	GRM2	HS3ST2	HAND1
TTYH1	LRRN4	SHE	ADPRHL1
TMEM215	KREMEN2	DLL4	PPP1R1A
CCBE1	C2orf15	GIMAP8	KCNJ4
SCG2	CLUL1	TMEM255B	C14orf180
SULT1E1	CFAP70	ODF3B	PPARGC1A
LUM	CDH1	FCGR2B	LRRC10
NGFR	SLC7A4	NRN1	TRIM63
OMD	FCHO1	IL10RA	RD3L
LRTM1	KCTD4	AVPR2	LAD1
NUPR1	CNTNAP4	CLIC2	CASZ1
NRK	PVALB	CFP	MT3
LRRN4CL	RBM47	TNFSF10	ALPK2
ELAVL3	PDZK1IP1	MMRN1	HHATL
INA	OPRK1	SPINK5	LPAR3
SRPX2	NRG4	VWF	SCN5A
UCMA	LRP2	FLT4	BVES
LTBP2	KIFC1	TMEM233	VSTM2L
HTR2A	EDN3	SELP	SLC8A1
PNMA2	DPP4	CLEC3B	FABP3
ISLR	KRTCAP3	CA4	USH1C
TBX22	PTPRQ	CD40	CKM
OLFML2B	IL1B	IL3RA	SPHKAP
COL1A1	CTSE	THSD1	PPP1R14C
DIO3	DHRS9	USHBP1	FGF12
UNC80	GALNT9	FCN3	ENO3
NNMT	GRIK5	NRG1	LMOD3
EMILIN3	CCKBR	GPR4	CORIN
FAP	CD7	SMAGP	SRL
CNTNAP2	ARHGEF39	PPP1R16B	RCAN2
GPC5	ARHGAP22	ALOX5	MYADML2
ADAMTS2	FGD3	SOST	IRX2
