V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
PENK,FABP4,CBLN4,C1QA,ITIH5,TMEM100,ITLN1,C2orf74,MYH6,ACTG2,MT1H,STMN2,RSPO2,NPPC
MIA,PRND,CCBE1,C1QC,COL12A1,EMCN,TNNT1,TMIGD2,TTN,ACTA2,GYPB,PRPH,OSR2,NTS
COL9A2,CLDN5,CILP,C1QB,DPT,CLDN10,UPK3B,ZNF266,MYH7,SULT1E1,PHOSPHO1,NEFM,HOXA2,KISS1
PDZRN4,LHX6,CEMIP,TYROBP,EGFL6,SMOC1,RSPO1,NCAPG,NEBL,COX4I2,KRT1,ASCL1,MSANTD1,SELL
ERBB3,APLN,CALN1,HLA-DRA,LUM,ENPP1,KLK5,ADAT2,LDB3,GPC5,GDF15,STMN4,HOXA5,LYPD2
RSPO3,TM4SF18,PTN,VSIG4,LEFTY1,AGTR2,SBSPON,CEP152,MB,HIGD1B,MT1F,SST,HOXA3,IL1RL1
SLC22A3,SSUH2,COL24A1,FCGR3A,ABCA9,GGT5,PRG4,ENGASE,NPPA,NNMT,MT1M,CALCB,PI15,WNT2
NELL2,VWF,C1QTNF3,FOLR2,COL9A1,FGF23,LGALS2,CTC1,TNNT2,TAGLN,GFI1B,ELAVL4,HOXB3,DKK2
LYPD6B,ADGRL4,C1QTNF7,CCL3,ABCA6,BAALC,CXCL14,SMIM10L2A,ACTC1,MYH11,C17orf99,SCG2,GDF10,PI16
DIRAS3,NRN1,CNTFR,AGR2,CYGB,UGT8,LRP2,HGH1,MYBPC3,SEMA5B,GRAP2,INA,CNTNAP3,PTHLH
NRCAM,TBXA2R,SRPX2,MS4A7,DPP10,NRG1,TGM1,JADE3,SMPX,IGFBP7,KEL,CHGA,SLC6A16,CPXM2
C1QTNF1,ESM1,CCL11,CD53,SPON2,RASSF10,SPRR2F,NLE1,TRDN,FBLN5,RHAG,TLX2,PDE5A,CRHBP
SPOCK3,TMEM233,TWIST2,ALOX5AP,ITGA11,SCGN,BICDL1,MYCBP,CSRP3,LMOD1,TRIM10,SCG3,THSD7B,NDP
CLU,GDF3,ARHGAP20,HPGDS,ADORA2B,SOST,NPHS1,ZNF607,HSPB3,PRSS35,ESPN,PHOX2A,FOSB,KCNJ2
NMUR2,QRFPR,HTR2A,GPR34,FLT3LG,BMX,KLK11,TSTD3,MYL7,MYLK,SPTA1,NEFL,CNTNAP3B,CYP1B1
ELMOD1,FLT4,CRYGD,FCGR1A,TGFBI,IRX3,LRRN4,TTC38,ANKRD1,SHISA3,EPB42,CHGB,GSTO2,DHH
PRRX1,LPL,NTF3,RGS1,HAAO,EDNRB,KREMEN2,BLOC1S3,MYH7B,IL34,IFIT1B,PHOX2B,CRISPLD1,SLCO2A1
ODAM,PROM1,LRRC17,CYBB,TRIL,TFPI,NLRP9,NOP2,MYOZ2,LCN1,RHCE,INSC,PPM1L,IGFL2
PCDH11X,TNFRSF4,LRAT,CD163,OAF,IRX5,TMEM190,MPND,SMYD1,PDGFRL,BPGM,PCSK1N,JUNB,ACKR4
RAPGEF4,ROBO4,SPARCL1,MS4A6A,PRKG2,CLEC3B,FAM110C,L3MBTL1,TRIM55,KCNMB1,TMCC2,GAL,JUN,PRMT8
BMP6,APLNR,C1S,CSF1R,ZNF843,TTC9,KLK10,IFITM1,ITGB1BP2,FOXS1,TUBB1,RTN1,SFRP1,ADIRF
BRINP3,MADCAM1,AKR1C2,CX3CR1,SLC16A12,CTHRC1,NECAB1,SEC14L2,ACTN2,UNC13C,ACSL6,GNG4,GRIA4,FCGR2B
SLN,FAM124B,MYRFL,SPP1,NKD2,HS3ST2,CA9,ERMP1,C1orf105,PRDM6,YPEL4,DCX,ESRRG,CCL21
FAP,PIK3R6,MMP11,C3AR1,LGALS1,PDE11A,KLK8,RPS2,COX6A2,STEAP1,SMIM5,CHRNA3,HOXB4,POU4F1
MATN4,SEMA6B,ISLR,MS4A4A,C17orf107,COLEC10,SMPD3,TMCO6,SYNPO2L,CHST9,RHD,DLX1,BPI,MET
PAPPA2,IL3RA,MOXD1,F13A1,SLFN13,LRIG3,AGTR1,RCC1,MYOM1,CCDC146,PKLR,HMX2,ZFP36,IFI27
SCX,MEOX2,XPNPEP2,IGSF6,CCDC102B,ANGPTL5,GRM2,TCAIM,LAD1,S1PR5,MT1E,ELAVL3,TSHZ2,LTC4S
TWIST1,ACE,SPIN2A,HCK,RNF112,MAOA,MGARP,ERN1,CKM,FAM129A,MT1X,MPZ,C14orf93,WNT4
TNFRSF11B,PPP1R16B,EFCAB1,NCF4,ADAMTSL3,AVPR2,SFRP5,LRRC75A,POPDC2,GREM2,SLC30A10,L1CAM,EGR1,MMRN1
