,"cellType","geneSymbol"
"1","Semilunar valve cell","MMP13"
"2","Multipotent progenitor cell","ISL1"
"3","Endothelial cell","VWF"
"4","Cardiac progenitor cell","CASP3"
"5","Cardiovascular progenitor cell","FLT1, FLT4, ISL1, NKX2-5"
"6","Cardiomyocyte","ACTN2, TNNI3"
"10","Cardiac progenitor cell","ABCG2, KIT, CD34, ETV2, GATA4, ITGB1, ISL1, NKX2-5, CASP3, KITLG, FUT4, TBX18, WT1"
"11","Cardiomyocyte","SGCA, NPPA, SGCB, BMP4, GJA4, GJA5, TDGF1, DES, SGCE, FABP3, GATA4, GATA6, HCN4, KCNJ2, LRG1, MEF2C, MYH6, MYH7, MYH family, NKX2-5, TBX5, TNNT3"
"12","Smooth muscle cell","ACTA2, CALD1, CNN1, HEXIM1, HRH2, MLNR, TAGLN, CDH5"
"13","Fibroblast","CKAP4"
